id,How confident are you that you understand what protections a TEE offers? (initial),ResponseId,How confident are you that you understand the scenario? (medical),What is the goal of the medical study? (attempt 1),What is the goal of the medical study? (attempt 2),Q296_Page Submit,How likely would you be willing to participate in the medical study?,How likely would you be willing to participate in the medical study? (free-response),"How safe do you think data would be when it is protected by a TEE? (medical, initial)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (medical, use of a TEE)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (medical, hospital collection)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (medical, people on team)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (medical, data collected)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (medical, purpose of collection)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (medical, other)","What questions do you still have about TEEs, if any? (medical)","TEE concept (medical, 1)","TEE concept (medical, 2)","TEE concept (medical, 3)","TEE concept (medical, 4)","TEE concept (medical, 5)","TEE concept (medical, 6)","TEE concept (medical, 7)","TEE concept (medical, 8)","TEE concept (medical, 9)","TEE concept (medical, 10)","TEE concept (medical, 11)","TEE concept (medical, 12)",How confident are you about your answers to the questions on this page? (medical),"How confident are you that you understand what protections a TEE offers? (medical, post-concepts)","How safe do you think data would be when it is protected by a TEE? (medical, post-TEE concepts)",How confident are you that you understand the scenario? (IoT),What kind of device are you shopping for? (attempt 1),What kind of device are you shopping for? (attempt 2),How likely would you be to purchase the voice assistant/light bulb?,How likely would you be to purchase the voice assistant/light bulb? (free-response),"How safe do you think data would be when it is protected by a TEE? (IoT, initial)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (IoT, use of a TEE)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (IoT, company collection)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (IoT, people on team)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (IoT, data collected)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (IoT, purpose of collection)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (IoT, other)","What questions do you still have about TEEs, if any? (IoT)","TEE concept (IoT, 1)","TEE concept (IoT, 2)","TEE concept (IoT, 3)","TEE concept (IoT, 4)","TEE concept (IoT, 5)","TEE concept (IoT, 6)","TEE concept (IoT, 7)","TEE concept (IoT, 8)","TEE concept (IoT, 9)","TEE concept (IoT, 10)","TEE concept (IoT, 11)","TEE concept (IoT, 12)",How confident are you about your answers to the questions on this page? (IoT),"How confident are you that you understand what protections a TEE offers? (IoT, post-concepts)","How safe do you think data would be when it is protected by a TEE? (IoT, post-TEE concepts)","Before this survey, were you familiar with the concept of TEEs?","Before this survey, were you familiar with the concept of TEEs? (free resposne)",Are you employed in a computing field?,Are you employed in a computing field? (free response),Do you have formal education in a computing field?,Do you have formal education in a computing field? (free response),Do you have prior experience with medical research?,Do you have prior experience with medical research? (free response),Do you work in a medical field?,Do you work in a medical field? (free response),Do you own any smart devices?,Do you own any smart devices? (free response),Do you have experience with home automation?,Do you have experience with home automation? (free response),Age,Gender,Gender (free response),Race,Race (free response),Education,Feedback,SCENARIO_Med,SCENARIO_IoT,Med_First,EXPLN,FAQ,faq1_count,faq2_count,faq3_count,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12
354,Somewhat confident,R_1oj5YlCZeZNEP75,Somewhat confident,Determine where to build a new hospital,,,Maybe would,,Mostly safe,Somewhat safe,Definitely safe,Neither safe nor unsafe,Somewhat safe,Somewhat safe,trust in the hospital system,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Somewhat confident,Somewhat confident,Mostly safe,Somewhat confident,Smart voice assistant,,Maybe would,,Mostly safe,Somewhat safe,Somewhat safe,Neither safe nor unsafe,Somewhat safe,Somewhat safe,understanding the history of the company and how well they've protected data in the past,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Somewhat confident,Somewhat confident,Mostly safe,No,,No,,No,,No,,No,,"Yes, but I don’t use the smart features",,"Yes, I have used home automation, but not currently",,45-54 years old,Male,,White or Caucasian,,Bachelor’s degree,,Medical-Simple,IoT-Complex,0,Unsubstantial,Hide,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1
355,Not at all confident,R_2AMYQPElahTE8GC,Somewhat confident,Determine where to build a new hospital,,62.591,Definitely would,,Mostly safe,Somewhat safe,Somewhat unsafe,Somewhat safe,Somewhat safe,Somewhat safe,"I don't know how secure hospitals are, because I once had my data breached through a medical group. So it's not that I don't trust the researchers, it's more that I don't trust the security of the medical industry.",,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Somewhat confident,Somewhat confident,Mostly safe,Somewhat confident,Smart voice assistant,,Would not ,I don't like smart home tech I find it superfluous,Somewhat safe,Somewhat safe,Neither safe nor unsafe,Somewhat safe,Neither safe nor unsafe,Neither safe nor unsafe,I'm not comfortable with smart home tech.,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,No,,No,,No,,No,,"No, I don’t own smart devices",,45-54 years old,Female,,White or Caucasian,,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",,Medical-Simple,IoT-Complex,1,None,Show,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
356,Completely confident,R_20tMc4u2zEGKrMH,Somewhat confident,Develop an AI tool for diagnosing patients,,,Definitely would,,Mostly safe,Somewhat safe,Somewhat unsafe,Somewhat unsafe,Somewhat unsafe,Somewhat safe,No,None,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Somewhat confident,Completely confident ,Mostly safe,Completely confident,Smart light bulb,,Maybe would,,Mostly safe,Somewhat safe,Somewhat unsafe,Somewhat unsafe,Somewhat safe,Somewhat unsafe,No,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Somewhat confident,Completely confident ,Mostly safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,35-44 years old,Male,,White or Caucasian,,High school diploma or GED,No,Medical-Complex,IoT-Simple,0,Hardware,None,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0
357,Somewhat confident,R_6dFx0wTHXFbSLS5,Completely confident,Develop an AI tool for diagnosing patients,,,Would not ,,Somewhat safe,Somewhat safe,Definitely safe,Somewhat safe,Somewhat unsafe,Definitely safe,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Somewhat confident,Completely confident ,Mostly safe,Somewhat confident,Smart light bulb,,Maybe would,,Mostly safe,Somewhat safe,Definitely unsafe,Neither safe nor unsafe,Somewhat unsafe,Somewhat unsafe,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Somewhat confident,Somewhat confident,Mostly safe,No,,No,,No,,No,,No,,"Yes, but I don’t use the smart features",,"No, I do not use home automation, but I do own smart devices",,18-24 years old,Non-binary / third gender,,White or Caucasian,,High school diploma or GED,I thought this was pretty interesting! I had no idea what TEEs were and am actually going to look into them now.,Medical-Complex,IoT-Simple,0,None,Hide,2,2,2,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,0
358,Not at all confident,R_3l4aASoH0UirNA4,Somewhat confident,Determine where to build a new hospital,,,Definitely would,,Mostly safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,"A local research study doesn't seem like a popular target for hackers. Additionally, most of the info provided is already public info ",What is the oversight on the TEE company,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Somewhat confident,Somewhat confident,Mostly safe,Somewhat confident,Smart voice assistant,,Would not ,,Mostly safe,Somewhat safe,Neither safe nor unsafe,Somewhat safe,Somewhat unsafe,Somewhat unsafe,The fact that it collects my voice feels the most unsafe,Is there any insurance on my data if the TEE were to get hacked? What other programs/devices use this same TEE system?,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Somewhat confident,Not at all confident,Mostly safe,No,,No,,No,,"Yes, as a researcher",,Yes,mental health therapist,"Yes, but I don’t use the smart features",,"No, I do not use home automation, but I do own smart devices",,25-34 years old,Female,,White or Caucasian,,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",,Medical-Simple,IoT-Complex,0,Unsubstantial,Hide,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0
359,Completely confident,R_7IL6NwYCvXCSyoq,Completely confident,Determine where to build a new hospital,,179.051,Definitely would,,Mostly safe,Somewhat safe,Definitely safe,Somewhat safe,Somewhat safe,Definitely safe,No there is not.,None,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Completely confident ,Completely confident ,Completely safe,Completely confident,Smart voice assistant,,Definitely would,,Completely safe,Definitely safe,Somewhat safe,Neither safe nor unsafe,Somewhat safe,Somewhat safe,No there is not,None,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Completely confident ,Completely confident ,Mostly safe,No,,"No, but I have been in the past",,No,,"Yes, as a participant",,"No, but I have been in the past",,"Yes, and I use the smart features",,"Yes, I have used home automation, but not currently",,25-34 years old,Non-binary / third gender,,"White or Caucasian,American Indian/Native American or Alaska Native",,High school diploma or GED,None,Medical-Simple,IoT-Complex,1,Hardware,Show,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
360,Somewhat confident,R_2CBFjBbpQvivs3b,Somewhat confident,Develop an AI tool for diagnosing patients,,,Definitely would,,Mostly safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,Definitely safe,Maybe more description of TEE…like is it encrypted,I guess what training is required to access it?,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Completely confident ,Somewhat confident,Mostly safe,Completely confident,Smart light bulb,,Maybe would,,Mostly safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,Not really,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Somewhat confident,Somewhat confident,Mostly safe,No,,No,,No,,"Yes, as a researcher",,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,25-34 years old,Female,,White or Caucasian,,Bachelor’s degree,,Medical-Complex,IoT-Simple,1,Hardware,None,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0
361,Completely confident,R_7qjVm78A7fUXbhH,Completely confident,Determine where to build a new hospital,,,Maybe would,,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat unsafe,Somewhat unsafe,N/A,N/A,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Somewhat confident,Somewhat confident,Mostly safe,Completely confident,Smart light bulb,,Definitely would,,Mostly safe,Definitely safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,N/A,N/A,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Somewhat confident,Somewhat confident,Mostly safe,No,,No,,No,,"Yes, as a researcher",,Yes,,"Yes, and I use the smart features",,"Yes, I currently use home automation",,18-24 years old,Female,,White or Caucasian,,Bachelor’s degree,,Medical-Simple,IoT-Simple,0,Trust,None,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1
362,Completely confident,R_7BzgNGsj6wdBmIQ,Completely confident,Determine where to build a new hospital,,,Definitely would,,Completely safe,Definitely safe,Definitely safe,Definitely safe,Definitely safe,Definitely safe,No,None,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Completely confident ,Completely confident ,Completely safe,Completely confident,Smart voice assistant,,Definitely would,,Completely safe,Somewhat safe,Definitely safe,Somewhat safe,Definitely safe,Definitely safe,Bone,None,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Completely confident ,Completely confident ,Completely safe,No,,Yes,,Yes,,No,,No,,"Yes, but I don’t use the smart features",,"No, I do not use home automation, but I do own smart devices",,45-54 years old,Male,,White or Caucasian,,"Some college, but no degree",None,Medical-Simple,IoT-Complex,1,Trust,None,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1
363,Somewhat confident,R_8Gzzl0RnfAUxMiJ,Completely confident,Develop an AI tool for diagnosing patients,,,Maybe would,,Mostly safe,Definitely safe,Definitely safe,Somewhat safe,Somewhat safe,Definitely safe,"How is it possible to isolate data within this environment so that it’s not vulnerable to malicious attacks, whereas other data could potentially be impacted?",,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Not at all confident,Not at all confident,Somewhat safe,Somewhat confident,Smart light bulb,,Would not ,,Mostly safe,Somewhat safe,Somewhat unsafe,Somewhat safe,Somewhat safe,Neither safe nor unsafe,"I’d just be interested in knowing why this data would need to be collected firstly? How does knowing my name, address and bulb interactions be beneficial to this company?",None,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Not at all confident,Not at all confident,Somewhat safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,35-44 years old,Female,,Black or African American,,Bachelor’s degree,,Medical-Complex,IoT-Simple,1,Unsubstantial,None,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0
364,Not at all confident,R_2BRl8liY1EDVqxP,Completely confident,Determine where to build a new hospital,,,Definitely would,,Somewhat safe,Neither safe nor unsafe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,No,Nothing,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,Completely confident,Smart light bulb,,Maybe would,,Somewhat safe,Neither safe nor unsafe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,Turning lights on or off can indicate patterns that can be used for malicious activity. ,Nothing,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,Somewhat confident,Not at all confident,Somewhat safe,No,,Yes,,Yes,,"Yes, as a participant",,No,,"Yes, and I use the smart features",,"Yes, I currently use home automation",,35-44 years old,Male,,White or Caucasian,,Bachelor’s degree,,Medical-Simple,IoT-Simple,0,None,None,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0
365,Somewhat confident,R_5W8jRbjfY26qwBX,Somewhat confident,Develop an AI tool for diagnosing patients,,,Definitely would,,Mostly safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,I am not sure if they are safe or unsafe but will just have see what it is about,I want to know how well it works and what it if does not work what do you do,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Somewhat confident,Somewhat confident,Mostly safe,Somewhat confident,Smart light bulb,,Maybe would,,Completely safe,Somewhat safe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,I do not feel you could get much data from a light bulb so I feel it is safe,Nothing at all,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Somewhat confident,Somewhat confident,Mostly safe,No,,Yes,,Yes,,No,,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,45-54 years old,Male,,Black or African American,,Associates or technical degree,good survey,Medical-Complex,IoT-Simple,1,Trust,None,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0
366,Somewhat confident,R_5E6smihTvN5qKV1,Completely confident,Develop an AI tool for diagnosing patients,,,Definitely would,,Mostly safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,I feel that may data would be safe for the reasons provided,None,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Completely confident ,Completely confident ,Mostly safe,Somewhat confident,Smart voice assistant,,Maybe would,,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat unsafe,Somewhat unsafe,I don't really like that my data is being collected by the AI tool in this scenario,None,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Somewhat confident,Completely confident ,Somewhat safe,No,,No,,No,,No,,"No, but I have been in the past",,"Yes, and I use the smart features",,"Yes, I have used home automation, but not currently",,25-34 years old,Female,,Asian,,"Some college, but no degree",,Medical-Complex,IoT-Complex,1,Unsubstantial,Hide,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
367,Somewhat confident,R_2AEGfbtZ67nq5ow,Somewhat confident,Develop an AI tool for diagnosing patients,,,Maybe would,,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,Nothing is completely safe on smart tech,N/a,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,Somewhat confident,Smart voice assistant,,Maybe would,,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,In general all smart technology I don’t feel safe and it’s a risk,None,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,No,,No,,"No, but I have been in the past",,"Yes, and I use the smart features",,"Yes, I currently use home automation",,45-54 years old,Female,,White or Caucasian,,High school diploma or GED,,Medical-Complex,IoT-Complex,0,Unsubstantial,Hide,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0
368,Somewhat confident,R_1PKLXfV089xvWPL,Somewhat confident,Develop an AI tool for diagnosing patients,,,Maybe would,I would want to be more comfortable in my understanding of TEEs,Mostly safe,Neither safe nor unsafe,Somewhat safe,Neither safe nor unsafe,Somewhat unsafe,Somewhat safe,,More lamen terms understanding of how TEEs work.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Somewhat confident,Somewhat confident,Mostly safe,Somewhat confident,Smart light bulb,,Maybe would,,Mostly safe,Somewhat safe,Somewhat unsafe,Somewhat safe,Somewhat unsafe,Neither safe nor unsafe,,,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,Somewhat confident,Somewhat confident,Mostly safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,25-34 years old,Female,,White or Caucasian,,High school diploma or GED,,Medical-Complex,IoT-Simple,1,None,Hide,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0
369,Somewhat confident,R_3puva9ckOnGVx4q,Somewhat confident,Develop an AI tool for diagnosing patients,,,Maybe would,,Mostly safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,N/A,N/A,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Completely confident ,Completely confident ,Mostly safe,Somewhat confident,Smart voice assistant,,Maybe would,,Mostly safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,N/A,N/A,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Completely confident ,Completely confident ,Mostly safe,No,,No,,No,,No,,"No, but I have been in the past",,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,45-54 years old,Female,,White or Caucasian,,"Some college, but no degree",N/A,Medical-Complex,IoT-Complex,0,Hardware,None,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0
370,Somewhat confident,R_1sVSKvoicXyMrAt,Somewhat confident,Determine where to build a new hospital,,71.749,Definitely would,,Mostly safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,Definitely safe,"Just as before, it's tough to be certain that all people involved take confidentiality seriously.",None,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Somewhat confident,Somewhat confident,Mostly safe,Somewhat confident,Smart voice assistant,,Maybe would,,Mostly safe,Definitely safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,"People are an unknown variable, plus if a company is involved, money is generally more important that data safety.",N/a,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Somewhat confident,Somewhat confident,Mostly safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,35-44 years old,Female,,"White or Caucasian,American Indian/Native American or Alaska Native",,"Some college, but no degree",No,Medical-Simple,IoT-Complex,0,Hardware,Show,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
371,Somewhat confident,R_1Q59GpUY1E8zdNq,Somewhat confident,Determine where to build a new hospital,,78.199,Maybe would,,Mostly safe,Somewhat safe,Somewhat safe,Neither safe nor unsafe,Somewhat safe,Somewhat safe,N/A,How can we be sure Tee can evolve with upcoming technology?,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Somewhat confident,Somewhat confident,Mostly safe,Somewhat confident,Smart light bulb,,Maybe would,,Mostly safe,Somewhat safe,Somewhat safe,Neither safe nor unsafe,Somewhat safe,Somewhat safe,N/A,N/A,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Somewhat confident,Somewhat confident,Mostly safe,No,,No,,Yes,,No,,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,25-34 years old,Male,,White or Caucasian,,High school diploma or GED,,Medical-Simple,IoT-Simple,1,None,Show,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0
372,Somewhat confident,R_2C3aN7RRIJxWsTI,Somewhat confident,Develop an AI tool for diagnosing patients,,,Maybe would,,Completely safe,Somewhat safe,Definitely safe,Neither safe nor unsafe,Definitely safe,Definitely safe,no I wouldn't be worried about my data ,none I think I understand them well,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Completely confident ,Somewhat confident,Mostly safe,Somewhat confident,Smart voice assistant,,Maybe would,,Completely safe,Definitely safe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,I think I would trust my data to be safe,none I feel like I understand them well,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Somewhat confident,Somewhat confident,Mostly safe,No,,No,,No,,No,,No,,No,,"No, I don’t own smart devices",,18-24 years old,Male,,White or Caucasian,,Bachelor’s degree,,Medical-Complex,IoT-Complex,0,Unsubstantial,None,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1
373,Completely confident,R_2gM9wABLgHgaWNS,Completely confident,Determine where to build a new hospital,,,Definitely would,,Completely safe,Definitely safe,Definitely safe,Definitely safe,Definitely safe,Definitely safe,"Nothing, it all makes me feel safe! :) ",No questions at this time! :),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Completely confident ,Completely confident ,Completely safe,Completely confident,Smart light bulb,,Definitely would,,Completely safe,Definitely safe,Definitely safe,Definitely safe,Definitely safe,Definitely safe,The fact that they're using TEE makes me feel safer about my data being used.,I have no questions! :) ,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Completely confident ,Completely confident ,Completely safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,25-34 years old,Female,,White or Caucasian,,"Some college, but no degree","I really enjoyed learning about TEEs, it helped me feel more comfortable about my data being shared.",Medical-Simple,IoT-Simple,0,Trust,Hide,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1
374,Completely confident,R_2kRkpeOSwexeLRf,Somewhat confident,Determine where to build a new hospital,,62.767,Maybe would,,Completely safe,Definitely safe,Somewhat safe,Somewhat safe,Somewhat safe,Definitely safe,if the TEE is working properly then there should be no need for worry about any of the data given.  ,i am pretty confident i understand how the TEEs work.  ,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Completely confident ,Completely confident ,Completely safe,Completely confident,Smart voice assistant,,Definitely would,,Completely safe,Definitely safe,Somewhat safe,Definitely safe,Somewhat safe,Definitely safe,"my only concern would not be the TEE itself, but the members of the team who can see the information and what they could do with it",is there safety in protecting from people who work with the information that they cant leak it?,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Completely confident ,Completely confident ,Mostly safe,Yes,,No,,No,,No,,No,,"Yes, and I use the smart features",,"Yes, I currently use home automation",,35-44 years old,Male,,White or Caucasian,,Associates or technical degree,,Medical-Simple,IoT-Complex,1,Trust,Show,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0
